# ABOUTME: Frozen per-file parse verdicts; a file that moves in either direction fails the ratchet.
# ABOUTME: Regenerated by `go test ./internal/parseoracle/ -run TestRatchet -parseoracle.update`.
#
# DO NOT EDIT BY HAND. An improvement fails the build too, on purpose:
# the baseline must never silently diverge from reality in either
# direction, so re-running with -parseoracle.update in the same commit
# is how a gain is recorded.
#
# Columns: status metric category path
interpreter = 5.042000
revision    = 94e5086608bcf1d01cd2d836f11ca8378a3320b6
exact         0 -              base/cond.t
exact         0 -              base/if.t
no-answer     0 -              base/lex.t
no-answer     0 General        base/num.t
exact         0 -              base/pat.t
exact         7 -              base/rs.t
exact         0 -              base/term.t
exact         0 -              base/translate.t
exact         0 -              base/while.t
exact         0 -              benchmark/gh7094-speed-up-keys-on-empty-hash.t
exact         0 -              bigmem/hash.t
exact         0 -              bigmem/index.t
exact         0 -              bigmem/pos.t
exact         0 -              bigmem/read.t
exact         0 -              bigmem/regexp.t
excluded      0 -              bigmem/stack.t
excluded      0 -              bigmem/stack_over.t
exact         0 -              bigmem/str.t
no-answer     0 ControlFlow    bigmem/subst.t
no-answer     0 Regex          bigmem/subst2.t
exact         0 -              bigmem/sv_gets.t
exact         0 -              bigmem/vec.t
exact         0 -              class/accessor.t
exact         0 -              class/class.t
exact         0 -              class/construct.t
exact         1 -              class/destruct.t
exact         0 -              class/field.t
exact         0 -              class/gh22169.t
exact         0 -              class/gh23511.t
no-answer     0 -              class/inherit.t
no-answer     0 General        class/method.t
exact         0 -              class/phasers.t
exact         0 -              class/threads.t
exact         0 -              class/utf8.t
exact         0 -              cmd/elsif.t
exact         2 -              cmd/for.t
exact         0 -              cmd/mod.t
exact         0 -              cmd/subval.t
no-answer     0 ControlFlow    cmd/switch.t
exact         0 -              comp/bproto.t
exact         0 -              comp/cmdopt.t
exact         0 -              comp/colon.t
no-answer     0 ControlFlow    comp/decl.t
exact         0 -              comp/filter_exception.t
no-answer     0 General        comp/final_line_num.t
exact         2 -              comp/fold.t
no-answer     1 General        comp/form_scope.t
no-answer     0 General        comp/hints.t
exact         0 -              comp/line_debug.t
exact         0 -              comp/multiline.t
exact         0 -              comp/opsubs.t
exact         0 -              comp/our.t
no-answer     0 General        comp/package.t
exact         0 -              comp/package_block.t
no-answer     1 General        comp/parser.t
exact         0 -              comp/parser_run.t
no-answer    60 Subroutine     comp/proto.t
exact         0 -              comp/redef.t
exact         0 -              comp/require.t
exact         0 -              comp/retainedlines.t
exact         0 -              comp/term.t
no-answer     0 Subroutine     comp/uproto.t
exact         0 -              comp/use.t
exact         0 -              comp/utf.t
exact         0 -              io/argv.t
exact         0 -              io/binmode.t
exact         0 -              io/bom.t
exact         2 -              io/closepid.t
exact         1 -              io/crlf.t
exact         0 -              io/crlf_through.t
exact         1 -              io/data.t
no-answer     0 General        io/defout.t
exact         0 -              io/dup.t
exact         0 -              io/eintr.t
exact         0 -              io/eintr_print.t
exact         0 -              io/errno.t
exact         0 -              io/errnosig.t
exact         0 -              io/fflush.t
no-answer     0 General        io/fs.t
exact         0 -              io/getcwd.t
exact         4 -              io/inplace.t
exact         0 -              io/iofile.t
exact         2 -              io/iprefix.t
exact         2 -              io/layers.t
exact         0 -              io/msg.t
exact         0 -              io/nargv.t
no-answer    11 -              io/open.t
exact         0 -              io/openpid.t
exact        16 -              io/paragraph_mode.t
exact         5 -              io/perlio.t
exact         0 -              io/perlio_fail.t
exact         0 -              io/perlio_leaks.t
exact         0 -              io/perlio_open.t
no-answer     0 General        io/pipe.t
no-answer     0 General        io/print.t
exact        11 -              io/pvbm.t
exact         0 -              io/read.t
exact         0 -              io/say.t
wider        43 -              io/scalar.t
wider         2 -              io/scalar_ungetc.t
exact         0 -              io/sem.t
exact         0 -              io/semctl.t
exact         0 -              io/shm.t
exact         0 -              io/socket.t
exact         0 -              io/socketpair.t
exact         0 -              io/tell.t
exact         1 -              io/through.t
exact         2 -              io/utf8.t
no-answer     0 -              japh/abigail.t
exact         0 -              lib/commonsense.t
exact         0 -              lib/croak.t
no-answer     0 -              lib/cygwin.t
no-answer     0 QuoteLike      lib/deprecate.t
exact         0 -              lib/mypragma.t
exact         0 -              lib/no_load.t
exact         0 -              lib/overload_fallback.t
exact         0 -              lib/overload_nomethod.t
exact         2 -              lib/proxy_constant_subs.t
wider        11 -              lib/universal.t
no-answer     9 Subroutine     mro/basic.t
exact         0 -              mro/basic_01_c3.t
exact         0 -              mro/basic_01_c3_utf8.t
exact         0 -              mro/basic_01_dfs.t
exact         0 -              mro/basic_01_dfs_utf8.t
exact         0 -              mro/basic_02_c3.t
no-answer     0 General        mro/basic_02_c3_utf8.t
exact         0 -              mro/basic_02_dfs.t
no-answer     0 General        mro/basic_02_dfs_utf8.t
exact         0 -              mro/basic_03_c3.t
no-answer     0 General        mro/basic_03_c3_utf8.t
exact         0 -              mro/basic_03_dfs.t
no-answer     0 General        mro/basic_03_dfs_utf8.t
exact         0 -              mro/basic_04_c3.t
no-answer     0 General        mro/basic_04_c3_utf8.t
exact         0 -              mro/basic_04_dfs.t
no-answer     0 General        mro/basic_04_dfs_utf8.t
exact         0 -              mro/basic_05_c3.t
no-answer     0 General        mro/basic_05_c3_utf8.t
exact         0 -              mro/basic_05_dfs.t
